year,no,prob,ans,rem
996,1,996年に内大臣・藤原伊周と権大納言・藤原隆家が起こした花山法皇への不敬事件を（    ）という,長徳の変（花山院闘乱事件）,
996,2,996年に藤原伊周は、花山法皇を射た不敬、東三条院の呪詛、私に（    ）を行ったことによって大宰権帥に左遷された,大元帥法（だいげんすいほう、だいげんのほう）,
999,1,和泉式部の「和泉」は夫・（    ）の任国にちなむ,橘道貞,
1001,1,定子の死後、円融天皇の女御・藤原詮子は一条天皇の第2皇女・（    ）を養育したともいわれる,媄子内親王,
1009,1,一条院焼失後、1009年に一条天皇は道長の邸宅・（    ）に遷御した,枇杷殿,
1013,1,長和2年、三条天皇と中宮・藤原妍子の間に（    ）（後の陽明門院）が生まれた,禎子内親王,
1015,1,『小右記』によると三条天皇の目が見えないのは、天台僧・（    ）の霊が天皇の眼前で翼を開くことによるとある,賀静,長和四年（1015）五月七日条
1016,1,『小右記』には（    ）が藤原道長に「至愚之又至愚也」と罵倒されたとある,藤原顕光,長和5年正月27日条
1020,1,源師房の「師房」という名は（    ）が授けた,藤原頼通,頼通自身もこの名を気に入り、後に自身の子を通房・師実と命名した
1020,2,一条朝の四納言（しなごん）のうち、（    ）だけは大納言まで昇った,藤原斉信（ただのぶ）,
1021,1,藤原実資は「（    ）」と称され、当時権勢を振るった道長を批判できる唯一の人物であった,賢人右府,
1022,1,法成寺造仏の功により、定朝は仏師として初めて（    ）という僧位を与えられた,法橋（ほっきょう）上人位,
1026,1,三条天皇の第2皇女・（    ）は、当初は頼通への降嫁が計画されていたものの、最終的にはその弟・教通の継室となった,禔子内親王（しし、ただこ、やすこないしんのう）,
1038,1,頼通の帰依する寺門派の明尊が天台座主に就任すると聞いて、山門派が頼通邸に強訴に押しかけた結果、山門派の（    ）が第28世天台座主となった,教円,
1040,1,後朱雀天皇の代には、但馬守・（    ）の進言で長久の荘園整理令が発布された,藤原章信（あきのぶ）,
1045,1,寛徳2年、（    ）が即位して後冷泉天皇となり、寛徳の荘園整理令などに着手し始めた,親仁親王,
1051,1,後一条天皇と中宮・藤原威子との間には、後冷泉天皇に入内した章子内親王と後三条天皇に入内した（    ）がいる,馨子内親王（けいし、かおるこないしんのう）,
1053,1,平等院鳳凰堂に配置されていた雲中供養菩薩像のうち、南25号は（    ）という楽器を持っている,鼗（とう）,
1054,1,『掌中歴』によると、天喜2年の（    ）の宣旨によって、「具足小路」が「錦小路」に改められた,後冷泉天皇,
1067,1,『宇治拾遺物語』は（    ）が著した『宇治大納言物語』が母体となっている,源隆国（たかくに）,
1069,1,法隆寺絵殿の『聖徳太子坐像』は、仏師・円快が制作して後に絵師・（    ）が彩色した,秦致貞（はたのむねさだ）,
1073,1,後三条天皇の崩御地である、源高房邸の跡には現在「（    ）」と刻された石碑が立つ,大炊御門万里小路殿,
1074,1,頼豪は白河天皇の皇子誕生を祈祷し、（    ）が生まれた,敦文親王,
1074,2,頼豪は死後に鉄鼠になったとされるが、園城寺にはこの霊が祀った（    ）がある,十八明神社（ねずみの宮）,
1075,1,藤原教通の没時、左大臣は藤原師実、右大臣は源師房、内大臣は教通の三男・（    ）であった,藤原信長,
1075,2,関白・藤原師実の正妻である源麗子は（    ）と称された,京極北政所,師実は京極関白と称された
1077,1,『愚管抄』において法勝寺は（    ）と称されている,国王の氏寺,
1083,1,永保3年、三条天皇第4皇子・（    ）は二品に叙せられたが、これが入道親王や法親王への叙品の初例となった,性信入道親王,
1086,1,（    ）は『難後拾遺』を著して、藤原通俊が撰集した『後拾遺和歌集』を批判した,源経信,
1093,1,藤原師通の日記『（    ）』は、寛治7年2月22日の1巻のみ自筆本である,後二条師通記,
1094,1,『扶桑略記』の扶桑は（    ）の異称である,日本,
1096,1,第1皇女・（    ）の崩御を機に白河上皇が出家した,媞子内親王（郁芳門院）,
1099,1,白河天皇の第2皇子・（    ）は親王宣下を受けて初の法親王となった,覚行,
1103,1,（    ）は宗仁親王（後の鳥羽天皇）を出産後、間もなく亡くなった,藤原苡子（しげこ、いし）,
1107,1,近衛天皇の臨終時の様子は藤原長子によって書かれた『（    ）』に詳しい,讃岐典侍日記（さぬきのすけのにっき）,
1108,1,源義親を討った平正盛は、帰京前に恩賞として白河法皇から（    ）に叙任された,但馬守,
1108,2,1108年以降、院（治天の君）は（    ）という非公式文書を天皇や摂政に渡すかたちで人事介入を行った,任人折紙（にんじんおりがみ）,
1108,3,堀川左大臣とも称される源俊房は日記『（    ）』を残した,水左記（すいさき）,
1111,1,（    ）は周囲から「天下の明鏡」と称えられていたと『中右記』に記されている,大江匡房,
1123,1,藤原北家勧修寺流支流にあたる（    ）の家祖は、「夜の関白」のあだ名をもつ藤原顕隆である,葉室家（はむろけ）,
1132,1,鳥羽上皇の御願寺である（    ）には、平忠盛によって巨大な三十三間堂である観音堂が造営された,得長寿院,
1162,1,藤原忠通は出家して（    ）と号した,円観,
1162,2,藤原忠通は小倉百人一首において（    ）と呼ばれている,法性寺入道前関白太政大臣（ほっしょうじにゅうどうさきのかんぱくだいじょうだいじん）,
